Artist,title,streams,lyrics,neg,neu,pos,compound
Shawn Mendes,Señorita ,512137,  Chorus Camila Cabello I love it when you call me señorita I wish I could pretend I didnt need ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you keep me coming for ya  Verse 1 Shawn Mendes Land in Miami The air was hot from summer rain Sweat drippin off me Before I even knew her name lalala It felt like oohlalala yeah no Sapphire moonlight We danced for hours in the sand Tequila Sunrise Her body fit right in my hands lalala It felt like oohlalala yeah  Chorus Camila Cabello  Shawn Mendes Camila Cabello I love it when you call me señorita I wish I could pretend I didnt need ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you know I love it when you call me señorita I wish it wasnt so damn hard to leave ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you keep me coming for ya  Verse 2 Camila Cabello with Shawn Mendes Locked in the hotel Theres just some things that never change You say were just friends But friends dont know the way you taste lalala La la la Cause you know its been a long time coming Dont ya let me fall oh Ooh when your lips undress me hooked on your tongue Ooh love your kiss is deadly dont stop  Chorus Both Camila Cabello  Shawn Mendes I love it when you call me señorita I wish I could pretend I didnt need ya But every touch is oohlalala Its true lalala Ooh I should be runnin Ooh you know I love it when you call me señorita I wish it wasnt so damn hard to leave ya So damn hard to leave ya But every touch is oohlalala Its true lalala True lala Ooh I should be runnin Ooh you keep me coming for ya  Outro Both Shawn Mendes  Camila Cabello All along Ive been coming for ya For you And I hope it meant something to you Oh Call my name Ill be coming for ya Coming for you Coming for ya Coming for you For ya For ya Oh she loves it when I call For ya Ooh I should be runnin Ooh you keep me coming for ya  ,0.023,0.756,0.221,0.9979
Ed Sheeran,Beautiful People (feat. Khalid) ,473829,  Intro Ed Sheeran We are we are we are  Verse 1 Ed Sheeran LA on a Saturday night in the summer Sundown and they all come out Lamborghinis and their rented Hummers The partys on so theyre headin downtown Round here Everybodys lookin for a come up And they wanna know what youre about Me in the middle with the one I love and Were just tryna figure everything out  PreChorus Ed Sheeran We dont fit in well cause we are just ourselves I could use some help gettin out of this conversation yeah You look stunning dear so dont ask that question here This is my only fear that we become  Chorus Ed Sheeran Beautiful people Drop top designer clothes Front row at fashion shows What dyou do and Who dyou know Inside the world of beautiful people Champagne and rolledup notes Prenups and broken homes Surrounded but still alone Lets leave the party  PostChorus Ed Sheeran Thats not who we are We are we are we are We are not beautiful Yeah thats not who we are We are we are we are We are not beautiful Beautiful  Verse 2 Khalid LA mmm Drove for hours last night and we made it nowhere Nowhere nowhere I see stars in your eyes when were halfway there All night Im not fazed by all them lights and flashin cameras Cause with my arms around you theres no need to care  PreChorus Khalid We dont fit in well we are just ourselves I could use some help gettin out of this conversation yeah You look stunning dear so dont ask that question here This is my only fear that we become  Chorus Ed Sheeran Beautiful people Drop top designer clothes Front row at fashion shows What dyou do and Who dyou know Inside the world of beautiful people Champagne and rolledup notes Prenups and broken homes Surrounded but still alone Lets leave the party  PostChorus Ed Sheeran Both Khalid Thats not who we are We are we are we are We are not beautiful yeah Yeah thats not who we are We are we are we are We are not beautiful Beautiful  Outro Ed Sheeran We are we are we are We are not beautiful  ,0.086,0.723,0.191,0.9949
Stormzy,Vossi Bop ,438920,  Intro Merkykykykyky Like  Chorus My bruddas dont dab we just Vossi bop I tell your girl to link me at the coffee shop Getting freaky in the sheets were takin body shots Then I finish with a facial just to top it off ayy My bruddas dont dab we just Vossi bop I tell your girl to link me at the coffee shop Getting freaky in the sheets were takin body shots Then I finish with a facial just to top it off ayy  Verse 1 You aint got a clue lets be honest I had a couple seeds and made a forest I put in the work and take the profit Lookin at my girl like What a goddess Thank God Rule number two dont make the promise If you cant keep the deal then just be honest Just be honest I could never die Im Chuck Norris Chuck Norris Fuck the government and fuck Boris Yeah Im a villain killin when Im barrin Brothers in the hood just like the movie that I star in Servicin my whip I phoned the boss to bring my car in I could probably take your chick but I just wouldnt cause shes jarrin oh I got the sauce Sauce dont know what you thought Thoughts Catch me up in snowin in my sliders and my shorts Shorts Chicks tryna get my brother Flipz to share his thoughts I think hes tryna tell me I should tell her he dont talk I dont fuck with her Yeah I used to hit it but youre stuck with her Man I wouldnt even try my luck with her Gyal say Im bougie Word way too exclusive Word Chillin in Dubai know I get it all inclusive Word Now may I ask if you can find it in your spirit Yeah To leave us all alone and go and mind your fuckin business Lookin in the mirror sayin Mikey youre the illest Yeah When Im James Bond tryna live my movie like Im Idris So we telling em look  Chorus My bruddas dont dab we just Vossi bop Ayy I tell your girl to link me at the coffee shop Ayy Getting freaky in the sheets were takin body shots Ayy Then I finish with a facial just to top it off ayy My bruddas dont dab we just Vossi bop Ayy I tell your girl to link me at the coffee shop Ayy Getting freaky in the sheets were takin body shots Ayy Then I finish with a facial just to top it off ayy  Verse 2 My bruddas dont dab we just Vossi bop So much Vossi I might open up a Vossi shop Mummy sayin that I need to get some sleep All this flyin overseas is always fuckin up my body clock And all this stress has got me wreckin up my brain Ayy ayy So tell these likkle fishes back up off my name Ayy ayy I aint gotta be a rapper with a chain Cah the rules are kinda different when youre baddin up the game Straight Baddin up the game bad it up again Yeah Had em up before have em up again Yeah Fake bruddas man your mandem all pretend Yeah Pussy by himself hes badder with his friends aww You man are so insecure man its a joke Man its a joke I need a Ballon dOr cause Im the GOAT Still the GOAT If you believe in your sauce then raise a toast Raise a toast These are some genius thoughts so make the most Told her Save me some I need all the homage could you pay me some Man a droppin bangers on your baby mums Gyal say Im rude Word they wanna see me nude Word My name Stiff Chocolate I got nothing left to prove I got holes in my lapel rubbin shoulders with your girl Which one of  said that I would go to jail Wah Well I guess you have to hold a L Tell em This is London city we the hottest in the world What we tellin em Look  Chorus My bruddas dont dab we just Vossi bop Ayy I tell your girl to link me at the coffee shop Ayy Getting freaky in the sheets were takin body shots Ayy Then I finish with a facial just to top it off ayy My bruddas dont dab we just Vossi bop Ayy I tell your girl to link me at the coffee shop Ayy Getting freaky in the sheets were takin body shots Ayy Then I finish with a facial just to top it off ayy  ,0.078,0.85,0.072,-0.8984
Ed Sheeran,I Don't Care (with Justin Bieber) ,397708,  Verse 1 Ed Sheeran Im at a party I dont wanna be at And I dont ever wear a suit and tie yeah Wonderin if I could sneak out the back Nobodys even lookin me in my eyes Then you take my hand Finish my drink say Shall we dance Hell yeah You know I love ya did I ever tell ya You make it better like that  PreChorus Ed Sheeran Dont think I fit in at this party Everyones got so much to say Yeah I always feel like Im nobody mmm Who wants to fit in anyway  Chorus Ed Sheeran Cause I dont care when Im with my baby yeah All the bad things disappear And youre making me feel like maybe I am somebody I can deal with the bad nights When Im with my baby yeah Ooh ooh ooh ooh ooh ooh Cause I dont care as long as you just hold me near You can take me anywhere And youre making me feel like Im loved by somebody I can deal with the bad nights When Im with my baby yeah Ooh ooh ooh ooh ooh ooh  Verse 2 Justin Bieber We at a party we dont wanna be at Tryna talk but we cant hear ourselves Read your lips Id rather kiss em right back With all these people all around Im crippled with anxiety But Im told its where Im sposed to be You know what Its kinda crazy cause I really dont mind When you make it better like that  PreChorus Justin Bieber Dont think we fit in at this party Everyones got so much to say oh yeah yeah When we walked in I said Im sorry mmm But now I think that we should stay  Chorus Ed Sheeran  Justin Bieber Cause I dont care when Im with my baby yeah All the bad things disappear Yeah youre making me feel like maybe I am somebody I can deal with the bad nights when Im with my baby yeah Ooh ooh ooh ooh ooh ooh Oh yeah yeah yeah Cause I dont care as long as you just hold me near You can take me anywhere And youre making me feel like Im loved by somebody I can deal with the bad nights when Im with my baby yeah Ooh ooh ooh ooh ooh ooh No  Bridge Justin Bieber  Ed Sheeran I dont like nobody but you its like youre the only one here I dont like nobody but you baby I dont care I dont like nobody but you I hate everyone here I dont like nobody but you baby yeah  Chorus Ed Sheeran  Justin Bieber Cause I dont care Dont care When Im with my baby yeah Oh yeah All the bad things disappear Disappear And youre making me feel like maybe I am somebody Maybe Im somebody I can deal with the bad nights With the bad nights When Im with my baby yeah Ooh ooh ooh ooh ooh ooh Oh yeah yeah yeah Cause I dont care as long as you just hold me near Me near You can take me anywhere Anywhere anywhere And youre making me feel like Im loved by somebody Im loved by somebody yeah yeah yeah I can deal with the bad nights When Im with my baby yeah Ooh ooh ooh ooh ooh ooh  ,0.125,0.677,0.198,0.9915
Lewis Capaldi,Someone You Loved ,383500,  Verse 1 Im going under and this time I fear theres no one to save me This all or nothing really got a way of driving me crazy I need somebody to heal somebody to know Somebody to have somebody to hold Its easy to say but its never the same I guess I kinda liked the way you numbed all the pain  Chorus Now the day bleeds into nightfall And youre not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved  Verse 2 Im going under and this time I fear theres no one to turn to This all or nothing way of loving got me sleeping without you Now I need somebody to know somebody to heal Somebody to have just to know how it feels Its easy to say but its never the same I guess I kinda like the way you help me escape  Chorus Now the day bleeds into nightfall And youre not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved  Bridge And I tend to close my eyes when it hurts sometimes I fall into your arms Ill be safe in your sound till I come back around  Chorus For now the day bleeds into nightfall And youre not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved But now the day bleeds into nightfall And youre not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved  ,0.076,0.787,0.138,0.9788
Billie Eilish,bad guy ,362896,  Verse 1 White shirt now red my bloody nose Sleepin youre on your tippy toes Creepin around like no one knows Think youre so criminal Bruises on both my knees for you Dont say thank you or please I do what I want when Im wanting to My soul So cynical  Chorus So youre a tough guy Like it really rough guy Just cant get enough guy Chest always so puffed guy Im that bad type Make your mama sad type Make your girlfriend mad tight Might seduce your dad type Im the bad guy Duh  PostChorus Im the bad guy  Verse 2 I like it when you take control Even if you know that you dont Own me Ill let you play the role Ill be your animal My mommy likes to sing along with me But she wont sing this song If she reads all the lyrics Shell pity the men I know  Chorus So youre a tough guy Like it really rough guy Just cant get enough guy Chest always so puffed guy Im that bad type Make your mama sad type Make your girlfriend mad tight Might seduce your dad type Im the bad guy Duh  PostChorus Im the bad guy duh Im only good at bein bad bad  Bridge I like when you get mad I guess Im pretty glad that youre alone You said shes scared of me I mean I dont see what she sees But maybe its cause Im wearing your cologne  Outro Im a bad guy Im Im a bad guy Bad guy bad guy Im a bad  ,0.262,0.646,0.092,-0.9954
Stormzy,Crown ,344214,  Chorus Stormzy Searchin every corner of my mind Lookin for the answers I cant find I have my reasons and life has its lessons I try to be grateful and count all my blessings But heavy is the head that wears the crown  Verse 1 Stormzy Amen in Jesus name yes I declare it Any little seed I receive I have to share it Bruddas wanna break me down I cant bear it But heavy is the head with the crown I still wear it You cant hold me down I still cope Rain falling down at the BRITs Im still soaked Try to put a hole in our ship well build boats Two birds with one stone Ill kill both One Pray I never lose and pray I never hit the shelf Two Promise if I do that youll be checkin on my health Cool If its for my people Ill do anything to help If I do it out of love its not to benefit myself ooh Gotta stay around but make a comeback too I know my only mother wants her son back too They sayin Im the voice of the young black youth And then I say Yeah cool and then I bun my zoot And now Im  Chorus Stormzy  LJ Singers Searchin every corner of my mind Search every corner look for the answers Lookin for the answers I cant find No I cant find em no silver lining I have my reasons and life has its lessons I try to be grateful and count all my blessings But heavy is the head that wears the crown  Verse 2 Stormzy Amen in Jesus name oh yes I claim it Any little bread that I make I have to break it Bruddas wanna break me down I cant take it I done a scholarship for the kids they said its racist Thats not antiwhite its problack Hang me out to dry I wont crack All these fancy ties and gold plaques Never had no silver spoons in our mouths we sold like Dont comment on my culture you aint qualified Stab us in the back and then apologise If you knew my story youd be horrified The irony of trappin on a Boris bike Gotta stay alive and save my brother as well Look at all these legends on the cover of Elle Long time comin but we come to prevail I guess a little bit of heaven has to come with the hell you know  Chorus Stormzy  LJ Singers Searchin every corner of my mind Search every corner look for the answers Lookin for the answers I cant find No I cant find em no silver lining I have my reasons and life has its lessons I try to be grateful and count all my blessings But heavy is the head that wears the crown  Outro LJ Singers Heavy is the head that wears the crown  ,0.049,0.818,0.133,0.9901
Dave,Thiago Silva ,316157,  Intro 166  Verse 1 Dave Santan from the VV x AJ Mad mystic with the pen like JK True say I aint really a drinker But I got love for brandy like Ray J Champagne popper 44 chopper In the black Nike bomber heartbeat stopper Halfheart MC dropper 45 wapper leave you in the states like Kaká  Verse 2 AJ Tracey AJ from the ll x Santan Mans got style on the riddim like Gangnam Two young bruddas tryna eat off of music But we used to eat off of pebs and the sand bags Now we get money music money Money that could put your girlfriend in a handbag White tee Balenciagas man bag Leftwinger with a long stick like a granddad AJ Tizzy from THE lizzy And Im all out for the Lizzy I dont wanna look like you youre broke And Ive been telling broke bruddas move like Grizzy Still brandy but the hand ting fizzy Probs be in bin if a man werent busy Im a mic king Im a king on the mic And Ill spin bruddas til the whole scene gets dizzy  Hook Dave  AJ Tracey Walk in the rave smile on my face Drink in my cup hand in my jeans Man talk tough man look up down left right Straight to a bang in the teeth Man still talk tough man saw man in the flesh Now mans tryna talk to my Gs Nah none of that none 45 drum Run you right out of your street Walk in the dance chicks wanna glance Hand on my hip shank for the dip If I shout oi them man there best skip Better tie up your laces tight and dont trip Trip get splashed Couldnt care less about my mans gang Were not fam were not friends or bredrins Youll get tanned and binned cock then blam  Verse 3 Dave Santan Dave from the Vale and Tracey Duck man down on the road Im pacey Two lighties on the phone so facety One named Jordan and one named Stacey S with the S from the S ask Showkey Dust man down with a mask like Tobi Tell a boy cotch my mans telling me lots But we are not Gs so dont watch my face  Verse 4 AJ Tracey Ladbroke Grove is where I re who Man get burst up in the G who Came back with a fresh one its new Dont come around for a two of the blue I dont give a fuck if youre old or new Ill just yawn like blackball who Put a couple dead MCs in the grave Trust me darg you can go there too Trust me darg you can go there free I dont ever watch FACE AJT from MTP NikeLab tracksuit Nike ID Man got overly fucked in the beef Pretty sure I landed a bang to his teeth Man will get banged in the face by me Not my bredrin banged in the face by me  Verse 5 Dave And me Man talk tough well see Hit him with the leftright leftright leftrightright One jab then I duck then weave Come like Trevor from GTA If I bang mans face man bop then lean Kun Aguero man dropped the shoulder feint once Quick kick then I drop mans G First time I link her Nandos sweet £995 I swipe then eat I onetwo rap she dont give hat Thiago Silva man block then skeet Had man screaming look theres my man Hand in my pouch like where Its not me Hand in my pouch like where Its not us Turned to my G like where Its not we So if you get boom with the 45 long Its a critical hit no chance to repeat And if you see Arge in the cut with the dip Youre pissed so quick your team should retreat But if you see Juss in the cut with his right hand tucked Youre fucked your team should leave G If you see Rapz in the back with his hand in the bag Its mad we came to see Ps  Hook Dave  AJ Tracey Walk in the rave smile on my face Drink in my cup hand in my jeans Man talk tough man look up down left right Straight to a bang in the teeth Man still talk tough man saw man in the flesh Now mans tryna talk to my Gs Nah none of that none 45 drum Run you right out of your street Walk in the dance chicks wanna glance Hand on my hip shank for the dip If I shout oi them man there best skip Better tie up your laces tight and dont trip Trip get splashed Couldnt care less about my mans gang Were not fam were not friends or bredrins Youll get tanned and binned cock then blam  169  ,0.099,0.748,0.153,0.9956
Lewis Capaldi,Hold Me While You Wait ,304665,  Verse 1 Im waitin up savin all my precious time Losin light Im missin my same old us Before we learned our truth too late Resigned to fate fadin away So tell me can you turn around I need someone to tear me down Oh tell me can you turn around But either way  Chorus Hold me while you wait I wish that I was good enough Hold me while you wait If only I could wake you up Hold me while you wait My love my love my love my love Wont you stay a while Hold me while you wait  Verse 2 Tell me more tell me something I dont know Did we come close to havin it all If youre gonna waste my time Lets waste it right  Chorus And hold me while you wait I wish that I was good enough Hold me while you wait If only I could wake you up Hold me while you wait My love my love my love my love Wont you stay a while Hold me while you wait I wish you cared a little more Hold me while you wait I wish youd told me this before Hold me while you wait My love my love my love my love Wont you stay a while Hold me while you wait  Bridge This is you this is me this is all we need Is it true My faith is shaken but I still believe This is you this is me this is all we need So wont you stay a while  Chorus And hold me while you wait I wish that I was good enough Hold me while you wait If only I could wake you up Hold me while you wait My love my love my love my love Wont you stay a while Hold me while you wait I wish you cared a little more Hold me while you wait I wish youd told me this before Hold me while you wait My love my love my love my love Wont you stay a while Hold me while you wait  Outro Stay a while Hold me while you wait My faith is shaken but I still believe Stay a while Hold me while you wait My love my love my love Wont you stay a while  ,0.017,0.683,0.3,0.9992
MEDUZA,Piece Of Your Heart ,296910,  Verse Show me a piece of your heart a piece of your love Im calling you up to gettin down down down The way that we touch is never enough Im turning you up to gettin down down Show me a piece of your heart a piece of your love Im calling you up to gettin down down down The way that we touch is never enough Im turning you up to gettin down down down  Break What Sorry just quickly What if its da da da uh uh Da da da uh uh Down down down  Chorus Uh da da da uh uh Da da da uh uh Da da da uh uh Da da da Uh da da da uh uh Da da da uh uh Da da da uh uh Down down down  PostChorus Show me a piece of you show me a part of you Ill be what you want And if its physical keep it subliminal Show me what you want Show me a piece of you show me a part of you Ill be what you want And if its physical keep it subliminal Show me what you want  Verse Show me a piece of your heart a piece of your love Im calling you up to gettin down down down The way that we touch is never enough Im turning you up to gettin down down down  Interlude Da da da uh uh Da da da uh uh Da da da uh uh Down down down  Chorus Uh da da da uh uh Da da da uh uh Da da da uh uh Da da da Uh da da da uh uh Da da da uh uh Da da da uh uh Down down down  PostChorus Show me a piece of you show me a part of you Ill be what you want And if its physical keep it subliminal Show me what you want  ,0.004,0.933,0.063,0.9442
